title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Ecole de Droit - Sciences Po,http://master.sciences-po.fr/droit/,Page spécifique,justice:justice ; société:jeunesse,340 ; 944,,university,"L'Ecole a pour objectif la formation de juristes de très haut niveau susceptibles de s'adapter et de progresser dans un univers professionnel en évolution constante, en s'appuyant sur une communauté académique vivante et un réseau d'excellence international.",Sciences Po ; Droit ; Enseignement ; Recherche,Sciences Po ; Law ; Higher Education,Sciences Po - Ecole de droit,fre ; eng,FR,12,10,DG,
Droits des enfants : analyser la société à travers le prisme des droits de l'enfant,http://jprosen.blog.lemonde.fr,Page spécifique,société:jeunesse ; justice:justice ; société:banlieues,340 ; 944,,academic,"Blog de Jean-Pierre Rosenczveig, Président du Tribunal pour enfants de Bobigny.",Enfance ; Droit des enfants ; Justice ; quartiers défavorisés ; jeunes délinquants ; étrangers ; droit d'asile ; éducation surveillée ; France ; Union européenne ; Élections ; 2012,Children rights ; justice ; young delinquent ; asylum right ; France ; European Union,Le Monde.fr ; Jean-Pierre Rosenczveig,fre,FR,13,11,DG,
Coulisses de Bruxelles,http://bruxelles.blogs.liberation.fr/coulisses/,Page spécifique,europe:europe ; économie:crise financière ; économie:finances publiques,341 ; 940 ,,journalist,Blog de Jean Quatremer à Libération sur la construction de l'Union européenne au quotidien. ,Actualités ; Union européenne ; France ; Vie politique,News ; Politics ; European Union ; France,Libération ; Jean Quatremer,fre,ZZ,13,11,DG,
Fenêtre sur l'Europe,http://www.fenetreeurope.com,Page d'accueil,économie:crise financière ; europe:europe ; énergie:énergie ; économie:transport ; relations internationales:relations internationales ; sécurité et défense:sécurité et défense,341 ; 944,,association,"Fenêtre sur l’Europe est une association à but non lucratif (loi d’association de 1908). Elle a pour objectif de contribuer à informer sur l'Europe, un maximum de citoyens. Fenetreeurope.com est un portail d'information multimédia sur l'actualité européenne ainsi qu'un organisme de presse en ligne.",Union européenne ; médias ; association ; politique économique ; crise financière ; France ; Relations internationales,News ; Europe ; economic policy ; France,Fenêtre sur l'Europe,fre,ZZ,10,11,DG,
Le taurillon,http://www.taurillon.org,Page d'accueil,europe:europe ; vie politique:vie politique ; vie politique:campagne électorale ; relations internationales:relations internationales ; économie:crise financière ; société:jeunesse,341 ; 944,,media,"Le Taurillon, magazine eurocitoyen, est une publication des Jeunes Européens - France.",Vie politique ; Union européenne ; citoyen ; France ; jeunesse ; élections ; relations internationales ; fédéralisme,Politics ; youth ; citizen ; elections ; International relations ; European Union ; France,Le Taurillon,fre,FR,10,11,DG,
"Contribuables associés : Contre l'oppression fiscale, la pression des contribuables",http://www.contribuables.org,Page d'accueil,économie:finances publiques ; politique sociale:politique sociale,343 ; 944,,association,"Créée en 1990, cette association compte 146 000 membres actifs pour faire entendre la voix des contribuables face à l'administration et à la passivité des hommes politiques.",Vie politique ; Politique fiscale ; Impôts ; Association ; Contribuables ; France,Politics ; Tax policy ; Tax payers ; France,contribuables.org,fre,FR,10,11,DG,
Service Public,http://www.service-public.fr,Page d'accueil,administration publique:administration publique,350 ; 340 ; 324 ; 944,,institution,"Site officiel de l'administration française. Actualités administrative et légales s'adressant aux particuliers, professionnels et associations.",Administration ; Droit ; Pouvoirs publics ; France,Administration ; Law ; Public services ; France,Direction de l'administration légale et administrative,fre,FR,10,11,DG,
Assemblée des départements de France,http://www.departements.fr,Page d'accueil,administration publique:administration locale ; administration publique:aménagement du territoire ; vie politique:vie politique ; vie politique:campagne électorale ; économie:finances publiques ; environnement:environnement,350 ; 944,,association,"L'Assemblée des départements de France (ADF) est une association pluraliste qui réunit les présidents des 102 départements (96 départements métropolitains et six ultra-marins). Elle remplit une triple mission : représenter les départements auprès des pouvoirs publics, être un centre de ressources permanent pour les conseils généraux, offrir aux aux élus et aux techniciens départementaux les moyens de confronter 
leurs idées, d'échanger leurs expériences et d'arrêter des positions 
communes sur les grands dossiers nationaux.",Départements ; Administration locale ; aménagement du territoire ; décentralisation ; finances locales ; environnement ; développement durable ; France ,,Assemblée des départements de France,fre,FR,10,11,DG,
Epsilon,https://www.epsilon.insee.fr,Page spécifique,administration publique:administration publique ; numérique:données publiques,350 ; 944,,institution,"Epsilon : Entrepôt des publications numériques de la Statistique Publique (INSEE). Toutes les publications de l'Insee (nationales et régionales), ainsi que  celles de la DARES et plus tard d'autres Services Statistiques Ministériels, sont ou seront désormais consultables sur Epsilon. ","Statistiques, Données publiques ; Administration publique ; France",Statistics ; public data ; repository ; public administration ; France,Epsilon,fre,FR,10,10,DG,
Commission d'accès aux documents administratifs - CADA,http://www.cada.fr,Page d'accueil,administration publique:administration publique ; numérique:données publiques ; sécurité et défense:sécurité et défense,350 ; 944,,institution,"La loi n° 78-753 du 17 juillet 1978 reconnaît à toute personne le droit d'obtenir communication des documents détenus par une administration, quels que soient leur forme ou leur support. La CADA, l'accès aux documents administratifs, la réutilisation des données publiques. ",Administration publique ; données personnelles ; données publiques ; sécurité numérique ; accès aux documents personnels ; France,Public administration ; personal data ; public data; France,Cada.fr,fre,FR,10,11,DG,
Secret police,http://www.marianne2.fr/fredericploquin/,Page spécifique,justice:justice ; sécurité et défense:sécurité et défense,350 ; 944,claude guéant,journalist,"Blog de Frédéric Ploquin, journaliste à Marianne.",Vie politique ; délinquance ; sécurité ; banlieue ; France ; Elections,politics ; crime ; security ; suburbs ; France,Marianne ; Frédéric Ploquin,fre,FR,13,11,DG,
Commission nationale de l'informatique et des libertés - CNIL,http://www.cnil.fr,Page d'accueil,numérique:numérique ; sécurité et défense:sécurité et défense ; société:société,351 ; 340 ; 944,,institution,"La Commission nationale de l’informatique et des libertés (CNIL) est une institution indépendante chargée de veiller au respect de l'identité humaine, de la vie privée et des libertés dans un monde numérique.",Libertés ; Droits ; Vie privée ; Données personnelles ; Biométrie ; Informatique ; Numérique ; Enjeux,Civil Rights ; Liberty ; Security ; Biometrics ; Digitisation ; Personal data protection ; Issues ; France,CNIL,fre,FR,10,11,DG,
Bug Brother,http://bugbrother.blog.lemonde.fr,Page spécifique,sécurité et défense:sécurité et défense ; numérique:numérique,351 ; 340 ; 944,claude guéant,journalist,"Blog de Jean-Marc Manach sur la société de surveillance : fichier, surveillance électronique, identité numérique, etc.",Sécurité ; Liberté ; Surveillance ; Biométrie ; Police ; France,Sécurity ; liberty ; biometrics ; electronic surveillance ; France,Jean-Marc Manach ; Le Monnde,fre,FR,13,11,DG,
Archives nationales ,http://www.archivesnationales.culture.gouv.fr,Page spécifique,,351 ; 944,,institution,"Implantées sur trois sites (Paris, Fontainebleau et Pierrefitte-sur-Seine, elles ont pour vocation de conserver, classer et comuniquer les documents produits par le gouvernement et les administrations centrales de l'Etat.",Archives ; France ; Conservation ; Documents officiels,Archive ; France ; Administration,Archives nationales,fre,FR,10,11,DG,
Réseau français des Villes éducatrices,http://www.villeseducatrices.fr,Page d'accueil,administration publique:urbanisme ; administration publique:administration locale; vie politique:citoyenneté,352 ; 710 ; 944,,association,"Le Réseau Français des Villes Éducatrices a été créé en 1998. Il regroupe aujourd'hui une cinquantaine de villes, sur l'ensemble du territoire, des grandes métropoles aux villes moyennes. Ses objectifs sont les suivants : Echanger des informations,  Confronter des expériences, Organiser des rencontres régulières, afin de développer de nouveaux liens et de débattre sur tout sujet s'inscrivant dans les orientations définies par la Charte des Villes Educatrices,  Développer une capacité collective à s'exprimer sur des orientations ou décisions nationales pouvant avoir une influence sur les politiques développées par les villes",Vie politique ; Collectivités locales ; Villes ; Citoyen ; France,Politics ; Public policies ; Local government ; Citizen ; France,Villes éducatrices,fre,FR,10,11,DG,
La 27e Région,http://la27eregion.fr,Page d'accueil,"administration publique:administration locale ; économie:innovation
",352 ; 944,,institution,La 27e Région est la première agence d’innovation publique qui permet aux Régions de préparer l’avenir et de changer leurs méthodes d’action. Blog à l'initiative de l'Association des Régions de France dont l'animation a été confié à la Fondation Internet Nouvelle Génération (FING).,Vie politique ; Politique locale ; Région ; Innovation ; France,Local Politics ; Region ; Innovation ; France,Association des régions de France,fre,FR,13,11,DG,
Millénaire 3,http://www.millenaire3.com,Page d'accueil,administration publique:urbanisme ; économie:innovation ; société:discriminations ; politique sociale:politique sociale ; environnement:développement durable,352 ; 944,,think_tank,"Prospective territoriale, centre de ressources du Grand Lyon",Prospective ; Vie locale ; Villes ; Lyon ; France ; Développement durable,Prospective ; Local government ; Lyon ; France ; Sustainable development,Millénaire 3,fre,FR,10,11,DG,
L'encyclopédie des villes de France,http://www.journaldunet.com/management/ville/,Page spécifique,administration publique:urbanisme ; numérique:données publiques,352 ; 944,,media,"Le Journal du Net a mis en ligne des milliers d'informations sur les 36 000 villes de France : démographie, emploi, entreprises implantées, marché immobilier, tourisme et toutes les données électorales (municipales, cantonales, législatives et présidentielles) plus un ""Spécial référendum Constitution européenne"". ",Villes ; Statistiques ; Démographie ; Économie locale ; Entreprises ; Immobilier ; Élections ; Outils ; France,Cities ; Data ; Statistics ; Demography ; Local Economy ; Companies ; Elections ; Tools ; France,Journal du Net,fre,FR,10,11,DG,
Jean-Yves Le Drian - Portail du gouvernement,http://www.gouvernement.fr/gouvernement/jean-yves-le-drian,Page spécifique,sécurité et défense:sécurité et défense ; relations internationales:relations internationales ; vie politique:campagne électorale  ,355 ; 944,jean-yves le drian,politician,Ministre de la Défense,Vie politique ; Défense nationale ; Relations internationale ; Forces armées ; France ; Afghanistan ; élections législatives,politics ; national defence ; international relations ; military ; France,Portail du Gouvernement,fre,FR,10,11,DG,
Lignes de défense,http://lignesdedefense.blogs.ouest-france.fr,Page spécifique,sécurité et défense:sécurité et défense ; relations internationales:relations internationales ; vie politique:campagne électorale  ,355 ; 944,,journalist,"Blog de Philippe Chapleau sur Ouest-France. Journaliste au service Politique de Ouest-France, il suit les questions de défense et la politique étrangère, après avoir été basé en Afrique du  Sud comme correspondant jusqu'en 1992.",Vie politique ; Défense nationale ; Relations internationale ; Forces armées ; France ; Afghanistan ; élections ,National defense ; Military ; International Relations ; France,Ouest-France ; Philippe Chapleau,fre,FR,13,11,DG,
Etat providence participatif = société de la contribution. Permettre au faible de contribuer de la façon dont il le souhaite.,http://solidariteliberale.hautetfort.com,Page d'accueil,administration publique:service public ; emploi:emploi ; politique sociale:politique sociale ; société:discriminations ; vie politique:citoyenneté,360 ; 944,,activist,"Blog de Michel Martin, adepte d'une conception libérale de la solidarité et de l'Etat providence, favorisant la participation des bénéficiaires, notamment pour tout ce qui concerne le domaine du ""care"" (soins, service à la personne).",Politique sociale ; Service public ; Libéralisme ; solidarité ; société ; France ,Social policy ; Public service ; Liberalism ; Solidarity society ; France,Michel Martin,fre,FR,13,10,DG,
Le Blog de Marisol Touraine,http://www.marisoltouraine.fr,Page d'accueil,administration publique:service public ; politique sociale:politique sociale ; politique sociale:santé ; politique sociale:retraite ; société:inégalité sociale ; vie politique:campagne électorale,360 ; 944,marisol touraine,politician,"Blog de Marisol Touraine, députée de L'Indre et Loire, Présidente du Conseil général et Ministre des Affaires sociales et de la Santé.",Politique sociale ; santé publique ; retraite ; hôpitaux publcs,Social policy ; Health ; public policy ; France,Marisol Touraine,fre,FR,13,11,DG,
Marisol Touraine sur Twitter,https://twitter.com/MarisolTouraine,Page spécifique,administration publique:service public ; politique sociale:politique sociale ; politique sociale:santé ; politique sociale:retraite ; société:inégalité sociale ; vie politique:campagne électorale,360 ; 944,marisol touraine,politician,"Page Twitter de Marisol Touraine, ministre des Affaires sociales et de la Santé",Politique sociale ; santé publique ; retraite ; hôpitaux publcs,Social policy ; Health ; public policy ; France,Marisol Touraine,fre,FR,13,11,DG,
Michel Abhervé,http://alternatives-economiques.fr/blogs/abherve/,Page spécifique,économie:entreprise ; politique sociale:retraite ; emploi:emploi ; éducation:éducation,360 ; 944,,academic,"Blog de Michel Ahervé sur ""Alternatives économiques"". L'ancien président de l'Union nationale des Missions locales, qui a été pendant 20 ans élu d'Evry et du Conseil régional d'Ile-de-France, est professeur associé d'économie sociale et de politiques publiques à l'Université de Paris Est-Marne-la-Vallée. Il commente l'actualité politique et sociale en France.",Vie politique ; Politiques publiques ; Politique sociale ; France,Politics ; Social policy ; Public policies ; France,Alternatives économiques ; Michel Ahervé,fre,FR,13,11,DG,
Carrefour National de l'Action éducative en milieu ouvert,http://www.cnaemo.com,Page d'accueil,éducation:éducation ; société:jeunesse ; justice:justice,360 ; 944,,association,"Le C.N.A.E.M.O est une association qui regroupe à la fois des professionnels, personnes physiques, et des associations, personnes morales. Instance d'interpellation et de confrontation des personnes et des institutions du champ social, elle concerne plus de trois mille cinq cents professionnels",Éducation en milieu ouvert ; justice ; jeunes délinquants ; association ; travailleurs sociaux; France,,CNAEMO,fre,FR,10,11,DG,
La Ligue de l'enseignement,http://www.laligue.org,Page d'accueil,éducation:éducation ; société:laïcité et religion ; société:jeunesse ; société:inégalité sociale ; vie politique:citoyenneté,360 ; 944,,association,"La Ligue de l'enseignement rassemble quelque 30 000 associations en France qui agissent quotidiennement sur le terrain. Qu'elles soient jeunes pousses ou gestionnaires, situées à la ville ou à la campagne, elles trouvent auprès des fédérations départementales de la Ligue de l'enseignement un soutien et un accompagnement dans leur mission d'intérêt général.",Association ; Citoyen ; Jeunesse ; Education ; Loisirs ; France,Association ; Citizen ; Youth ; Education ; Recreation ; France,La Ligue de l'enseignement,fre,FR,10,11,DG,
Droit au logement,http://www.droitaulogement.org,Page d'accueil,politique sociale:logement ; politique sociale:politique sociale,360 ; 944,,association,"Site de la Fédération DAL. Créée à Paris en octobre 1990, l'Association, appelée ""DAL fondateur"", a lancé en France la lutte des mal-logés et des sans-logis, et créé ""Droits devant"" et le ""Comité des sans-logis"". En Janvier 1998, les trente comités DAL existants à travers la France se sont fédérés au sein de « DAL Fédération. »",Association ; Citoyen ; Logement ; Droits sociaux ; Enjeux ; France,Association ; Citizen ; Housing ; Issues ; France,Fédération DAL,fre,FR,10,11,DG,
Mouvement ATD Quart onde,http://www.atd-quartmonde.fr,Page d'accueil,politique sociale:politique sociale ; politique sociale:santé ; politique sociale:logement ; emploi:emploi ; société:discriminations ; éducation:éducation,360 ; 944,,association,"ATD Quart Monde veut contribuer à bâtir une société où chacun sera respecté dans son égale dignité et y aura sa place pleine et entière. Pour cela, il veut donner la priorité aux plus démunis, aux plus exclus.",Association ; Citoyen ; Pauvreté ; Droits sociaux ; France,Association ; Citizen ; Social rights ; Poverty ; France,Mouvement ATD Quart Monde France,fre,FR,10,11,DG,
"Dominique Bertinotti, le blog",http://www.dominique-bertinotti.fr,Page d'accueil,politique sociale:politique sociale ; politique sociale:santé ; société:inégalité sociale ; vie politique:campagne électorale,360 ; 944,dominique bertinotti ; ségolène royal ; françois holande,politician,"Blog de Dominique Bertinotti, Maire du 4e arrondissement de Paris, directrice de Campagne de Ségolène Royal lors des Primaires Citoyennes, membre du groupe chargé du projet présidentiel de François Hollande et Ministre déléguée auprès de la ministre des Affaires sociales et de la Santé, chargée de la Famille",Politique sociale ; famille ; santé publique ; élections législatives ; France,Social policy ; family ; public health ; elections ; France,Dominique Bertinotti,fre,FR,13,11,DG,
Caisse Nationale d'Assurance Vieillesse - CNAV : base nationale de législation,http://www.legislation.cnav.fr,Page spécifique,politique sociale:retraite ; administration publique:service public,360 ; 944,,institution,"Base législative réglementaire de l'Assurance retraite de la sécurité sociale (retraite du régime général). Nouveaux articles juridiques, informations, services en ligne, listes et différents régimes, listes concernant l'Union européenne. ",Sécurité sociale ; assurance vieillesse ; retraite; politique sociale ; France,Pension plan ; social policy ; France,CNAV,fre,FR,10,11,DG,
Conseil d'orientation des retraites,http://www.cor-retraites.fr,Page d'accueil,politique sociale:retraite ; administration publique:service public,360 ; 944,,institution,Le Conseil d'orientation des retraites est un lieu permanent d'études et de concertation entre les principaux acteurs du champ des retraites. Il suit l'évolution des régimes et fait des propositions pour assurer leur solidité financière et leur fonctionnement solidaire.,Politique sociale ; Retraite ; France,retirement ; pension plan ; social policy ; France,Conseil d'Orientation des retraites,fre,FR,13,11,DG,
Handimobility : l'association indépendante de tous les handicaps,http://www.handimobility.org/blog/,Page d'accueil,politique sociale:santé ; société:discriminations ; politique sociale:politique sociale,360 ; 944,,association,"Association loi de 1901, créée en 2008. Elle a pour but de collecter, traiter et diffuser toute information pertinente à destination des personnes handicapées quel que soit leur lieu de résidence ainsi que de leur faciliter l’accès aux différents équipements et services qui leur sont proposés.",Association ; Handicapés ;  Intégration sociale ; Services sociaux ; Accessibilité ; France,"Association ; Disabled ; Social Inclusion ; Social services ; Accessibility ; France
",Handimobility,fre,FR,10,11,DG,
AIDES,http://www.aides.org,Page d'accueil,politique sociale:santé ; société:discriminations ; vie politique:citoyenneté,360 ; 944,,association,"Créée en 1984 et reconnue d'utilité publique en 1990, AIDES est la première association française de lutte contre le sida.",Association ; SIDA ; Santé publique ; Discriminations ; France ,,AIDES,fre,FR,10,11,DG,
Collectif interassociatif sur la santé - CISS,http://leciss.org,Page d'accueil,politique sociale:santé ; société:société,360 ; 944,,association,"Le CISS, Collectif interassociatif sur la santé, regroupe près de 40 associations intervenant dans le champ de la santé à partir des approches complémentaires de personnes malades et handicapées, de personnes âgées, de consommateurs et de familles. Il soutient le ""Manifeste pour une santé égalitaire et solidaire"" (Odile Jacob) rédigé par cinq professeurs de médecine et experts et co-signé par 123 personnalités. ",Politique sanitaire et sociale ; système de santé ; assurance maladie ; Hôpital public ; droit des malades ; Handicapés ; France ; élections ; 2012,Health policy ; France,CISS,fre,FR,10,11,DG,
Act Up Paris,http://www.actupparis.org,Page d'accueil,société:discriminations ; politique sociale:santé,360 ; 944,,association,"L'Association Act Up a été fondée à New York en 1987. Act Up-Paris a été créée en 1989. C’est une association de lutte contre le sida. Issue de la communauté homosexuelle, elle rassemble des personnes séropositives, des militantEs concernéEs par la maladie, des hommes, des femmes, trans’, lesbienne, gai, bi, hétéro, pour qui le sida n’est pas une fatalité. ",Association ; Citoyen ; SIDA ; Homosexuels ; Enjeux ; France,Association ; Citizen ; AIDS ; Homosexuals ; Issues ; France,Act Up Paris,fre,FR,10,11,DG,
Xavier Bertrand sur Facebook,http://www.facebook.com/xavierbertrand02,Page spécifique,vie politique:vie politique ; vie politique:campagne électorale ; emploi:emploi ; emploi:conditions de travail ; politique sociale:santé,360 ; 944,xavier bertrand ; françois fillon ; nicolas sarkozy,politician,"Maire de Saint-Quentin (Aisne), Président de la fédération départementale de l'Aisne ; Ancien Ministre du gouvernement Fillon.",Vie politique ; UMP ; politique sociale ; santé ; emploi ,politics ; right ; UMP ; France,Xavier Bertrand,fre,FR,13,11,DG,
Fédération syndicale unitaire,http://www.fsu.fr,Page d'accueil,administration publique:service public ; éducation:éducation ; politique sociale:politique sociale ; société:discriminations,370 ; 360 ; 351 ; 944,,trade_union,"Site de la Fédération Syndicale Unitaire, fédération constituée à l'origine de syndicats nationaux généraux, de secteurs ou de métiers relevant de l’Education, de la Jeunesse et des Sports, de la  Recherche, de la
 Culture et de la Justice, et présente aujourd'hui dans les
trois fonctions publiques : Etat, territoriale et hospitalière",éducation  ; culture ; droits de l'homme ; service public ; droits sociaux ,Education ; culture ; human rights ; social rights ; public services,FSU,fre,FR,13,11,ZM,
Le café pédagogique,http://www.cafepedagogique.net,Page d'accueil,éducation:éducation,370 ; 944,vincent peillon,association,Portail consacré à la politique de l'éducation.,Vie politique ; éducation ; recherche ; Elections ; France,politics ; education ; research ; France,Le café pédagogique,fre,FR,10,11,DG,
"Fédération des conseils de parents d'élèves de
l'enseignement public (F.C.P.E.)



",www.fcpe.asso.fr,Page d'accueil,éducation:éducation,370 ; 944,,association,"Site de la Fédération des conseils de parents d'élèves de l'enseignement public, créée en 1947, à l'instigation duSyndicat national des instituteurs et de la Ligue de l'enseignement. Initialement représentée dans les écoles élémentaires, la  F.C.P.E. s'implante à partir des années 1960 dans le secondaire.



",Association ; parents d'élèves ; éducation ; enseignement ,Education,Fédération des conseils de parents d'élèves de l'enseignement public ,fre,FR,12,11,ZM,
Union nationale des associations autonomes de parents d’élèves (UNAAPE),http://www.unaape.asso.fr,Page d'accueil,éducation:éducation,370 ; 944,,association,"Site de l’Union nationale des associations autonomes de parents d’élèves, créée en 1968
",Association ; parents d'élèves ; éducation ; enseignement ,Education,Union nationale des associations autonomes de parents d’élèves ,fre,FR,12,11,ZM,
Fédération des parents d'élèves de l'enseignement public (PEEP),www.peep.asso.fr,Page d'accueil,"éducation:éducation



",370 ; 944,,association,"Site de l'Association des parents d'élèves de l'enseignement public, créée en 1905, devenue fédération dès 1910 et officiellement reconnue en 1926. Réservée longtemps aux parents d’élèves du secondaire, elle regroupe depuis 1964 tous ceux dont les enfants sont scolarisés dans l'enseignement public, de la maternelle à l'université",Association ; parents d'élèves ; éducation ; enseignement ,Education,Fédération des parents d'élèves de l'enseignement public,fre,FR,12,11,ZM,
CEMEA - Mouvement d'éducation nouvelle,http://www.cemea.asso.fr,Page d'accueil,éducation:éducation ; culture et communication:culture et communication ; politique sociale:politique sociale ; société:jeunesse ; société:discriminations ; vie politique:citoyenneté,370 ; 944,,association,"Les CEMÉA sont un mouvement d’éducation nouvelle. Ils privilégient une interaction permanente entre l’individu, le groupe, l’environnement et le milieu de vie. Les CEMÉA militent pour une laïcité, qui soit une ouverture à la compréhension de l’autre dans l’acceptation des différences et dans le respect du pluralisme, mais aussi un combat pour la liberté d’expression de chacun et, contre toute forme d’obscurantisme, de discrimination, d’exclusion et d’injustice.",éducation populaire ; association ; jeunesse ; citoyen ; formation ; loisirs ; politique sociale ; France ; élections ; 2012,,CEMEA,fre,FR,10,11,DG,
Institut français de l'éducation,http://ife.ens-lyon.fr/ife,Page spécifique,éducation:éducation ; éducation:enseignement supérieur et recherche,370 ; 944,,university,"L’Institut français de l’Éducation est une composante de l’ENS de Lyon, mais il possède des instances de gestion propres. Il prend le relais de l’Institut national de recherche pédagogique dont il assure toutes les missions et toutes les obligations, à l’exception de la mission muséographique. L’IFÉ est une structure nationale de recherche, de formation et de 
médiation des savoirs en matière d’éducation, fondée sur une interaction permanente avec les communautés éducatives, grâce au recrutement de professeurs détachés et de professeurs associés.",Education ; recherche ; pédagogie; formation ; France ; ,Education ; pedagogy ; vocational training ; research ; France ,IFE ; ENS Lyon,fre,FR,10,10,DG,
Confédération syndicale de l'éducation nationale - CSEN,http://www.csen.fr,Page d'accueil,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale,370 ; 944,,trade_union,"La Confédération Syndicale de l’Education Nationale a été créée le 5 janvier 1984, par cinq organisations (le Syndicat national des écoles-SNE, le SNALC-CSEN, l'Autonome Sup, le SPLEN et la FGAS) souhaitant se regrouper afin d’être mieux entendues par les ministères de tutelle dans leur désir de maintenir et développer la qualité de l’enseignement en France. ",Syndicats ; enseignants ; enseignement ; politique sociale ; société ,Trade union ; teachers ; France,CSEN,fre,FR,10,11,DG,
SGEN-CFDT,http://www.cfdt.fr,Page spécifique,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale,370 ; 944,,trade_union,"Site du SGEN-CFDT. Actualités, votre ministère, nous connaître, vous accompagner, actions.",Syndicats ; enseignants ; enseignement ; politique sociale ; société ; élections ; France,Trade Union ; teachers ; education ; France,SGEN-CFDT,fre,FR,10,11,DG,
Syndical national des enseignements du second degré - SNES-FSU,http://www.snes.edu,Page d'accueil,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale,370 ; 944,,trade_union,"Syndicat des enseignants des collèges et lycées, membre de la FSU. Le SNES, penser et exercer son métier (carrières, mutations, formations), espace adhérents, espace militant, le SNES en campagne : quels projets pour le second degré ?          ",Syndicats ; enseignants ; enseignement second degré ; élections ; France ,Trade Union ; teachers ; education ; France,SNES-FSU,fre,FR,10,11,DG,
Syndical national unitaire des instituteurs et professeurs des écoles - SNUDI Force Ouvrière,http://fo-snudi.fr,Page spécifique,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale,370 ; 944,,trade_union,"Syndicat des enseignants du premier degré de Force ouvrière. Défense de l'école, personnels, vie scolaire, IUFM, protection sociale. Actualités, dossiers, liens.",Syndicats ; enseignants ; enseignement ; politique sociale ; société ; élections ; France ,Trade Union ; teachers ; education ; France,SNUDI FO,fre,FR,10,11,DG,
Syndical national unitaire des instituteurs et professeurs des écoles et PEGC - SNUIPP-FSU,http://www.snuipp.fr,Page d'accueil,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale,370 ; 944,,trade_union,"Site du syndicat des instituteurs, membre de la FSU. L'enfant ; l'école (carte scolaire) ; le métier ; la carrière ; le syndicat, le dossier du mois.",Syndicats ; enseignants ; enseignement premier degré ; élections ; France ,Trade Union ; teachers ; education ; France,SNUIPP-FSU,fre,FR,10,11,DG,
Syndicat national FO des lycées et collèges - SNFOLC,http://www.fo-snfolc.fr,Page spécifique,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale,370 ; 944,,trade_union,"Le SNFOLC syndique les personnels enseignants, d’éducation et d’orientation des établissements de second degré, que ces personnels soient titulaires ou non. Il syndique également les aides éducateurs et assistants d’éducation. le syndicat, catégories, carrières, établissements.",Syndicats ; enseignants ; enseignement ; politique sociale ; société ; élections ; France,Trade Union ; teachers ; education ; France,SNFOLC,fre,FR,10,11,DG,
Enseignants de l'unsa,http://www.se-unsa.org,Page d'accueil,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale ; société:discriminations,370 ; 944,françois hollande,trade_union,"Syndicat des enseignants du 1er et du 2nd degré (de la maternelle au lycée), affilié à l'Union nationale des syndicats autonomes - unsa- éducation.",Syndicats ; enseignants ; unsa ; emploi ; conditions de travail ; protection sociale ; pédagogie ; France,Trade Union ; teachers ; education ; France,Se-Unsa,fre,FR,10,11,DG,
"SUD éducation : Solidaire, Unitaire, Démocratiques",http://www.sudeducation.org,Page d'accueil,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale ; société:discriminations,370 ; 944,,trade_union,"Fédération des syndicats SUD éducation. Actualités, Fédération, syndicats, luttes solidaires, commissions fédérales et groupes de travail, dossiers, outils militants, archives.",Syndicats ; enseignants ; enseignement ; politique sociale ; société ; élections ; France,Trade Union ; teachers ; education ; France,SUD éducation,fre,FR,10,11,DG,
UNSEN CGT - Educ'action,http://www.unsen.cgt.fr,Page spécifique,éducation:éducation ; emploi:emploi ; politique sociale:politique sociale ; société:discriminations,370 ; 944,,trade_union,"Syndicat CGT de l'enseignement. Le syndicat, société, nos liens, presse et publications, guides juridiques. ",Syndicats ; enseignants ; enseignement ; politique sociale ; société ; élections ; France,Trade Union ; teachers ; education ; France,UNSEN CGT,fre,FR,10,11,DG,
UNSA - Education,http://www.unsa-education.org,Page d'accueil,éducation:éducation ; société:laïcité et religion ; politique sociale:politique sociale,370 ; 944,,trade_union,"La fédération des métiers de l'éducation compte 23 syndicats regroupant plus de 100 000 personnels. Education, fédération, social, Europe, international.",Syndicats ; enseignants ; enseignement ; politique sociale ; société ; élections ; France,Trade Union ; teachers ; education ; France,UNSA - éducation,fre,FR,10,11,DG,
Ecoles différentes,http://ecolesdifferentes.free.fr,Page d'accueil,éducation:éducation ; société:société ; économie:économie,370 ; 944,,association,"Pour lutter contre l'échec scolaire, cette association propose des alternatives éducatives. ",Education ; France ; Citoyen ; Association,Education ; Citizen ; Association ; France,Ecoles différentes,fre,FR,10,11,DG,
